district,Buddhism_M_n,Buddhism_M_pc,Buddhism_F_n,Buddhism_F_pc,Buddhism_P_n,Buddhism_P_pc,Christianity_Anglican_M_n,Christianity_Anglican_M_pc,Christianity_Anglican_F_n,Christianity_Anglican_F_pc,Christianity_Anglican_P_n,Christianity_Anglican_P_pc,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_M_pc,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_F_pc,Christianity_Asyrin_Apstlic_P_n,Christianity_Asyrin_Apstlic_P_pc,Christianity_Baptist_M_n,Christianity_Baptist_M_pc,Christianity_Baptist_F_n,Christianity_Baptist_F_pc,Christianity_Baptist_P_n,Christianity_Baptist_P_pc,Christianity_Brethren_M_n,Christianity_Brethren_M_pc,Christianity_Brethren_F_n,Christianity_Brethren_F_pc,Christianity_Brethren_P_n,Christianity_Brethren_P_pc,Christianity_Catholic_M_n,Christianity_Catholic_M_pc,Christianity_Catholic_F_n,Christianity_Catholic_F_pc,Christianity_Catholic_P_n,Christianity_Catholic_P_pc,Christianity_Church_Christ_M_n,Christianity_Church_Christ_M_pc,Christianity_Church_Christ_F_n,Christianity_Church_Christ_F_pc,Christianity_Church_Christ_P_n,Christianity_Church_Christ_P_pc,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_M_pc,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_F_pc,Christianity_Eastrn_Orthdox_P_n,Christianity_Eastrn_Orthdox_P_pc,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_M_pc,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_F_pc,Christinty_Jehvahs_Witnses_P_n,Christinty_Jehvahs_Witnses_P_pc,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_M_pc,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_F_pc,Christianity_Lattr_day_Snts_P_n,Christianity_Lattr_day_Snts_P_pc,Christianity_Lutheran_M_n,Christianity_Lutheran_M_pc,Christianity_Lutheran_F_n,Christianity_Lutheran_F_pc,Christianity_Lutheran_P_n,Christianity_Lutheran_P_pc,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_M_pc,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_F_pc,Christianity_Orintal_Orthdx_P_n,Christianity_Orintal_Orthdx_P_pc,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_M_pc,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_F_pc,Christianity_Othr_Protestnt_P_n,Christianity_Othr_Protestnt_P_pc,Christianity_Pentecostal_M_n,Christianity_Pentecostal_M_pc,Christianity_Pentecostal_F_n,Christianity_Pentecostal_F_pc,Christianity_Pentecostal_P_n,Christianity_Pentecostal_P_pc,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_M_pc,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_F_pc,Christinty_Prsbytrin_Refrmd_P_n,Christinty_Prsbytrin_Refrmd_P_pc,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_M_pc,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_F_pc,Christianity_Salvation_Army_P_n,Christianity_Salvation_Army_P_pc,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_M_pc,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_F_pc,Christnty_Sevnth_dy_Advntst_P_n,Christnty_Sevnth_dy_Advntst_P_pc,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_M_pc,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_F_pc,Christianity_Uniting_Church_P_n,Christianity_Uniting_Church_P_pc,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_M_pc,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_F_pc,Christianity_Christian_nfd_P_n,Christianity_Christian_nfd_P_pc,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_M_pc,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_F_pc,Christianity_Othr_Christian_P_n,Christianity_Othr_Christian_P_pc,Christianity_Tot_M_n,Christianity_Tot_M_pc,Christianity_Tot_F_n,Christianity_Tot_F_pc,Christianity_Tot_P_n,Christianity_Tot_P_pc,Hinduism_M_n,Hinduism_M_pc,Hinduism_F_n,Hinduism_F_pc,Hinduism_P_n,Hinduism_P_pc,Islam_M_n,Islam_M_pc,Islam_F_n,Islam_F_pc,Islam_P_n,Islam_P_pc,Judaism_M_n,Judaism_M_pc,Judaism_F_n,Judaism_F_pc,Judaism_P_n,Judaism_P_pc,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_M_pc,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_F_pc,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Aust_Abor_Trad_Rel_P_pc,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_M_pc,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_F_pc,Othr_Rel_Sikhism_P_n,Othr_Rel_Sikhism_P_pc,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_M_pc,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_F_pc,Othr_Reln_Other_reln_groups_P_n,Othr_Reln_Other_reln_groups_P_pc,Other_Religions_Tot_M_n,Other_Religions_Tot_M_pc,Other_Religions_Tot_F_n,Other_Religions_Tot_F_pc,Other_Religions_Tot_P_n,Other_Religions_Tot_P_pc,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_M_pc,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_F_pc,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_NR_P_pc,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_M_pc,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_F_pc,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_SB_P_pc,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_M_pc,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_F_pc,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_OSB_P_pc,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_M_pc,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_F_pc,SB_OSB_NRA_Tot_P_n,SB_OSB_NRA_Tot_P_pc,Religious_affiliation_ns_M_n,Religious_affiliation_ns_M_pc,Religious_affiliation_ns_F_n,Religious_affiliation_ns_F_pc,Religious_affiliation_ns_P_n,Religious_affiliation_ns_P_pc,Tot_M_n,Tot_M_pc,Tot_F_n,Tot_F_pc,Tot_P_n,Tot_P_pc,Tot_P_total
Glen Waverley,3223.0,0.0391,3521.0,0.0427,6795.0,0.0824,1977.0,0.024,2436.0,0.0295,4329.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0128,1236.0,0.015,2343.0,0.0284,0.0,0.0,0.0,0.0,15.0,0.0002,5548.0,0.0673,6318.0,0.0766,11785.0,0.1429,75.0,0.0009,100.0,0.0012,244.0,0.003,1591.0,0.0193,1744.0,0.0211,3316.0,0.0402,20.0,0.0002,34.0,0.0004,80.0,0.001,47.0,0.0006,30.0,0.0004,90.0,0.0011,81.0,0.001,56.0,0.0007,190.0,0.0023,104.0,0.0013,122.0,0.0015,317.0,0.0038,178.0,0.0022,197.0,0.0024,382.0,0.0046,349.0,0.0042,435.0,0.0053,810.0,0.0098,491.0,0.006,708.0,0.0086,1255.0,0.0152,36.0,0.0004,56.0,0.0007,117.0,0.0014,45.0,0.0005,47.0,0.0006,109.0,0.0013,1005.0,0.0122,1392.0,0.0169,2304.0,0.0279,1138.0,0.0138,1363.0,0.0165,2533.0,0.0307,10.0,0.0001,19.0,0.0002,66.0,0.0008,13995.0,0.1697,16614.0,0.2015,30617.0,0.3713,3007.0,0.0365,2814.0,0.0341,5868.0,0.0712,1051.0,0.0127,829.0,0.0101,1925.0,0.0233,22.0,0.0003,32.0,0.0004,93.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.003,265.0,0.0032,590.0,0.0072,146.0,0.0018,184.0,0.0022,395.0,0.0048,412.0,0.005,491.0,0.006,1048.0,0.0127,16341.0,0.1982,15319.0,0.1858,31600.0,0.3832,85.0,0.001,40.0,0.0005,160.0,0.0019,11.0,0.0001,24.0,0.0003,40.0,0.0005,16459.0,0.1996,15441.0,0.1872,31878.0,0.3866,2058.0,0.025,2132.0,0.0259,4217.0,0.0511,40253.0,0.4881,42061.0,0.51,82465.0,1.0,82465.0
Greenvale,1003.0,0.0131,1037.0,0.0135,2039.0,0.0265,769.0,0.01,996.0,0.013,1774.0,0.0231,549.0,0.0071,633.0,0.0082,1219.0,0.0159,92.0,0.0012,78.0,0.001,241.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,11803.0,0.1536,12524.0,0.163,24381.0,0.3173,3.0,0.0,7.0,0.0001,27.0,0.0004,1366.0,0.0178,1382.0,0.018,2731.0,0.0355,72.0,0.0009,74.0,0.001,206.0,0.0027,57.0,0.0007,92.0,0.0012,159.0,0.0021,0.0,0.0,8.0,0.0001,26.0,0.0003,247.0,0.0032,267.0,0.0035,552.0,0.0072,80.0,0.001,72.0,0.0009,221.0,0.0029,162.0,0.0021,189.0,0.0025,384.0,0.005,153.0,0.002,155.0,0.002,357.0,0.0046,27.0,0.0004,29.0,0.0004,86.0,0.0011,36.0,0.0005,44.0,0.0006,78.0,0.001,226.0,0.0029,286.0,0.0037,560.0,0.0073,1115.0,0.0145,1168.0,0.0152,2230.0,0.029,18.0,0.0002,16.0,0.0002,31.0,0.0004,17201.0,0.2239,18354.0,0.2389,35506.0,0.4621,1017.0,0.0132,833.0,0.0108,1932.0,0.0251,10709.0,0.1394,10892.0,0.1418,21575.0,0.2808,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0045,320.0,0.0042,655.0,0.0085,74.0,0.001,57.0,0.0007,151.0,0.002,427.0,0.0056,389.0,0.0051,846.0,0.011,5464.0,0.0711,4767.0,0.062,10233.0,0.1332,14.0,0.0002,23.0,0.0003,52.0,0.0007,7.0,0.0001,12.0,0.0002,24.0,0.0003,5523.0,0.0719,4809.0,0.0626,10348.0,0.1347,2312.0,0.0301,2216.0,0.0288,4503.0,0.0586,38164.0,0.4967,38679.0,0.5034,76831.0,1.0,76831.0
Hastings,137.0,0.0021,262.0,0.0039,406.0,0.0061,3148.0,0.0473,4157.0,0.0625,7340.0,0.1103,0.0,0.0,0.0,0.0,4.0,0.0001,311.0,0.0047,374.0,0.0056,717.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,5196.0,0.0781,6073.0,0.0912,11246.0,0.1689,19.0,0.0003,18.0,0.0003,59.0,0.0009,280.0,0.0042,260.0,0.0039,588.0,0.0088,13.0,0.0002,33.0,0.0005,96.0,0.0014,71.0,0.0011,86.0,0.0013,154.0,0.0023,17.0,0.0003,46.0,0.0007,78.0,0.0012,6.0,0.0001,6.0,0.0001,6.0,0.0001,31.0,0.0005,40.0,0.0006,97.0,0.0015,231.0,0.0035,268.0,0.004,545.0,0.0082,539.0,0.0081,697.0,0.0105,1273.0,0.0191,16.0,0.0002,13.0,0.0002,41.0,0.0006,7.0,0.0001,15.0,0.0002,27.0,0.0004,579.0,0.0087,876.0,0.0132,1524.0,0.0229,639.0,0.0096,758.0,0.0114,1461.0,0.0219,12.0,0.0002,3.0,0.0,25.0,0.0004,11473.0,0.1724,13998.0,0.2103,25473.0,0.3827,32.0,0.0005,25.0,0.0004,65.0,0.001,36.0,0.0005,47.0,0.0007,119.0,0.0018,17.0,0.0003,10.0,0.0002,47.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0001,10.0,0.0002,12.0,0.0002,41.0,0.0006,73.0,0.0011,159.0,0.0024,47.0,0.0007,93.0,0.0014,175.0,0.0026,18431.0,0.2769,17179.0,0.2581,35610.0,0.535,68.0,0.001,40.0,0.0006,161.0,0.0024,20.0,0.0003,69.0,0.001,130.0,0.002,18580.0,0.2791,17344.0,0.2606,35990.0,0.5407,2150.0,0.0323,1934.0,0.0291,4119.0,0.0619,32613.0,0.4899,33936.0,0.5098,66565.0,1.0,66565.0
Hawthorn,724.0,0.0102,1072.0,0.0152,1822.0,0.0258,2694.0,0.0381,3316.0,0.0469,6049.0,0.0856,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0054,476.0,0.0067,905.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,6206.0,0.0878,7201.0,0.1019,13382.0,0.1894,12.0,0.0002,15.0,0.0002,35.0,0.0005,1002.0,0.0142,1227.0,0.0174,2300.0,0.0325,21.0,0.0003,26.0,0.0004,55.0,0.0008,3.0,0.0,9.0,0.0001,16.0,0.0002,81.0,0.0011,117.0,0.0017,217.0,0.0031,28.0,0.0004,33.0,0.0005,102.0,0.0014,60.0,0.0008,41.0,0.0006,145.0,0.0021,79.0,0.0011,152.0,0.0022,317.0,0.0045,497.0,0.007,541.0,0.0077,1038.0,0.0147,9.0,0.0001,12.0,0.0002,49.0,0.0007,3.0,0.0,10.0,0.0001,20.0,0.0003,809.0,0.0114,1120.0,0.0158,1969.0,0.0279,433.0,0.0061,682.0,0.0097,1206.0,0.0171,12.0,0.0002,7.0,0.0001,32.0,0.0005,12604.0,0.1784,15357.0,0.2173,27984.0,0.396,955.0,0.0135,928.0,0.0131,1882.0,0.0266,418.0,0.0059,368.0,0.0052,785.0,0.0111,338.0,0.0048,332.0,0.0047,700.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0007,32.0,0.0005,110.0,0.0016,59.0,0.0008,73.0,0.001,159.0,0.0022,126.0,0.0018,127.0,0.0018,308.0,0.0044,16233.0,0.2297,16673.0,0.2359,32874.0,0.4652,84.0,0.0012,96.0,0.0014,257.0,0.0036,9.0,0.0001,54.0,0.0008,108.0,0.0015,16485.0,0.2333,16894.0,0.2391,33375.0,0.4723,1787.0,0.0253,1803.0,0.0255,3636.0,0.0515,33629.0,0.4759,37020.0,0.5239,70669.0,1.0,70669.0
Ivanhoe,575.0,0.0087,841.0,0.0127,1415.0,0.0214,1768.0,0.0267,2285.0,0.0345,4068.0,0.0614,5.0,0.0001,0.0,0.0,11.0,0.0002,253.0,0.0038,346.0,0.0052,620.0,0.0094,3.0,0.0,6.0,0.0001,12.0,0.0002,7268.0,0.1098,8474.0,0.128,15734.0,0.2376,9.0,0.0001,6.0,0.0001,37.0,0.0006,1561.0,0.0236,1662.0,0.0251,3162.0,0.0478,9.0,0.0001,18.0,0.0003,47.0,0.0007,8.0,0.0001,12.0,0.0002,24.0,0.0004,44.0,0.0007,62.0,0.0009,144.0,0.0022,64.0,0.001,56.0,0.0008,171.0,0.0026,34.0,0.0005,57.0,0.0009,124.0,0.0019,109.0,0.0016,125.0,0.0019,285.0,0.0043,312.0,0.0047,330.0,0.005,723.0,0.0109,4.0,0.0001,30.0,0.0005,60.0,0.0009,4.0,0.0001,10.0,0.0002,25.0,0.0004,584.0,0.0088,836.0,0.0126,1430.0,0.0216,600.0,0.0091,724.0,0.0109,1301.0,0.0196,5.0,0.0001,3.0,0.0,16.0,0.0002,12933.0,0.1953,15416.0,0.2328,28352.0,0.4282,750.0,0.0113,716.0,0.0108,1481.0,0.0224,1124.0,0.017,1106.0,0.0167,2260.0,0.0341,27.0,0.0004,27.0,0.0004,95.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0011,61.0,0.0009,166.0,0.0025,82.0,0.0012,132.0,0.002,235.0,0.0035,159.0,0.0024,236.0,0.0036,456.0,0.0069,14401.0,0.2175,13877.0,0.2096,28210.0,0.426,78.0,0.0012,58.0,0.0009,189.0,0.0029,11.0,0.0002,41.0,0.0006,68.0,0.001,14587.0,0.2203,14043.0,0.2121,28580.0,0.4316,1779.0,0.0269,1672.0,0.0253,3479.0,0.0525,32066.0,0.4843,34111.0,0.5152,66215.0,1.0,66215.0
Kalkallo,1242.0,0.013,1365.0,0.0143,2617.0,0.0274,1182.0,0.0124,1568.0,0.0164,2779.0,0.0291,491.0,0.0051,502.0,0.0053,962.0,0.0101,222.0,0.0023,212.0,0.0022,526.0,0.0055,0.0,0.0,0.0,0.0,5.0,0.0001,11426.0,0.1196,12100.0,0.1266,23478.0,0.2457,21.0,0.0002,33.0,0.0003,64.0,0.0007,1149.0,0.012,1172.0,0.0123,2357.0,0.0247,98.0,0.001,76.0,0.0008,192.0,0.002,194.0,0.002,216.0,0.0023,488.0,0.0051,10.0,0.0001,35.0,0.0004,52.0,0.0005,351.0,0.0037,339.0,0.0035,708.0,0.0074,114.0,0.0012,191.0,0.002,341.0,0.0036,392.0,0.0041,415.0,0.0043,822.0,0.0086,187.0,0.002,262.0,0.0027,566.0,0.0059,15.0,0.0002,13.0,0.0001,37.0,0.0004,75.0,0.0008,66.0,0.0007,163.0,0.0017,319.0,0.0033,456.0,0.0048,846.0,0.0089,1448.0,0.0152,1630.0,0.0171,3077.0,0.0322,0.0,0.0,3.0,0.0,13.0,0.0001,18197.0,0.1905,19617.0,0.2053,37769.0,0.3953,4242.0,0.0444,3877.0,0.0406,8041.0,0.0842,6110.0,0.064,5952.0,0.0623,12117.0,0.1268,0.0,0.0,10.0,0.0001,12.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,5563.0,0.0582,4836.0,0.0506,10479.0,0.1097,108.0,0.0011,140.0,0.0015,277.0,0.0029,5695.0,0.0596,5030.0,0.0526,10876.0,0.1138,9483.0,0.0993,8467.0,0.0886,17961.0,0.188,38.0,0.0004,33.0,0.0003,87.0,0.0009,17.0,0.0002,18.0,0.0002,46.0,0.0005,9608.0,0.1006,8600.0,0.09,18166.0,0.1901,2959.0,0.031,2868.0,0.03,5908.0,0.0618,48079.0,0.5032,47497.0,0.4971,95542.0,1.0,95542.0
Kew,1311.0,0.0177,1820.0,0.0246,3131.0,0.0424,2366.0,0.032,2910.0,0.0394,5291.0,0.0716,0.0,0.0,0.0,0.0,0.0,0.0,519.0,0.007,643.0,0.0087,1263.0,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,7091.0,0.096,8053.0,0.109,15140.0,0.2049,8.0,0.0001,34.0,0.0005,56.0,0.0008,2006.0,0.0271,2149.0,0.0291,4229.0,0.0572,6.0,0.0001,0.0,0.0,10.0,0.0001,3.0,0.0,8.0,0.0001,23.0,0.0003,50.0,0.0007,55.0,0.0007,148.0,0.002,58.0,0.0008,63.0,0.0009,159.0,0.0022,82.0,0.0011,111.0,0.0015,234.0,0.0032,225.0,0.003,215.0,0.0029,471.0,0.0064,313.0,0.0042,416.0,0.0056,808.0,0.0109,15.0,0.0002,12.0,0.0002,32.0,0.0004,9.0,0.0001,8.0,0.0001,44.0,0.0006,706.0,0.0096,1147.0,0.0155,1871.0,0.0253,615.0,0.0083,855.0,0.0116,1550.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,14489.0,0.1961,17019.0,0.2303,31564.0,0.4271,1029.0,0.0139,910.0,0.0123,1946.0,0.0263,406.0,0.0055,443.0,0.006,865.0,0.0117,156.0,0.0021,204.0,0.0028,443.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0009,81.0,0.0011,212.0,0.0029,115.0,0.0016,111.0,0.0015,285.0,0.0039,219.0,0.003,229.0,0.0031,515.0,0.007,15888.0,0.215,15733.0,0.2129,31707.0,0.4291,73.0,0.001,51.0,0.0007,162.0,0.0022,6.0,0.0001,48.0,0.0006,72.0,0.001,16055.0,0.2173,15950.0,0.2158,32011.0,0.4332,1678.0,0.0227,1752.0,0.0237,3490.0,0.0472,35554.0,0.4811,38501.0,0.521,73900.0,1.0,73900.0
Kororoit,3105.0,0.0356,3748.0,0.043,6845.0,0.0785,825.0,0.0095,976.0,0.0112,1845.0,0.0212,6.0,0.0001,4.0,0.0,9.0,0.0001,808.0,0.0093,738.0,0.0085,1611.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,0.1341,12333.0,0.1414,24072.0,0.276,43.0,0.0005,29.0,0.0003,65.0,0.0007,1994.0,0.0229,2066.0,0.0237,3995.0,0.0458,130.0,0.0015,144.0,0.0017,296.0,0.0034,128.0,0.0015,125.0,0.0014,287.0,0.0033,12.0,0.0001,32.0,0.0004,59.0,0.0007,585.0,0.0067,674.0,0.0077,1307.0,0.015,256.0,0.0029,222.0,0.0025,505.0,0.0058,626.0,0.0072,708.0,0.0081,1376.0,0.0158,154.0,0.0018,200.0,0.0023,406.0,0.0047,8.0,0.0001,10.0,0.0001,22.0,0.0003,66.0,0.0008,99.0,0.0011,197.0,0.0023,189.0,0.0022,277.0,0.0032,537.0,0.0062,1935.0,0.0222,2039.0,0.0234,4061.0,0.0466,5.0,0.0001,0.0,0.0,5.0,0.0001,19842.0,0.2275,21014.0,0.2409,40951.0,0.4695,2516.0,0.0288,2288.0,0.0262,4806.0,0.0551,3627.0,0.0416,3387.0,0.0388,6987.0,0.0801,9.0,0.0001,0.0,0.0,6.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,1921.0,0.022,1663.0,0.0191,3611.0,0.0414,53.0,0.0006,76.0,0.0009,147.0,0.0017,2026.0,0.0232,1773.0,0.0203,3853.0,0.0442,8303.0,0.0952,7485.0,0.0858,15811.0,0.1813,11.0,0.0001,35.0,0.0004,53.0,0.0006,8.0,0.0001,30.0,0.0003,49.0,0.0006,8406.0,0.0964,7554.0,0.0866,15976.0,0.1832,4795.0,0.055,3039.0,0.0348,7834.0,0.0898,44336.0,0.5083,42939.0,0.4923,87228.0,1.0,87228.0
Lara,330.0,0.0047,441.0,0.0063,823.0,0.0117,1975.0,0.028,2528.0,0.0359,4538.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0094,781.0,0.0111,1496.0,0.0212,27.0,0.0004,25.0,0.0004,60.0,0.0009,7618.0,0.1081,8842.0,0.1255,16483.0,0.234,24.0,0.0003,13.0,0.0002,70.0,0.001,912.0,0.0129,947.0,0.0134,1916.0,0.0272,65.0,0.0009,104.0,0.0015,179.0,0.0025,58.0,0.0008,38.0,0.0005,92.0,0.0013,111.0,0.0016,200.0,0.0028,371.0,0.0053,8.0,0.0001,7.0,0.0001,8.0,0.0001,27.0,0.0004,63.0,0.0009,139.0,0.002,163.0,0.0023,195.0,0.0028,399.0,0.0057,643.0,0.0091,731.0,0.0104,1338.0,0.019,10.0,0.0001,31.0,0.0004,70.0,0.001,28.0,0.0004,50.0,0.0007,103.0,0.0015,648.0,0.0092,918.0,0.013,1588.0,0.0225,954.0,0.0135,1081.0,0.0153,2029.0,0.0288,20.0,0.0003,17.0,0.0002,36.0,0.0005,14277.0,0.2027,16988.0,0.2412,31250.0,0.4436,508.0,0.0072,353.0,0.005,947.0,0.0134,1305.0,0.0185,963.0,0.0137,2215.0,0.0314,0.0,0.0,22.0,0.0003,31.0,0.0004,0.0,0.0,3.0,0.0,3.0,0.0,442.0,0.0063,389.0,0.0055,817.0,0.0116,57.0,0.0008,63.0,0.0009,169.0,0.0024,562.0,0.008,524.0,0.0074,1083.0,0.0154,14065.0,0.1997,13334.0,0.1893,27416.0,0.3892,55.0,0.0008,52.0,0.0007,135.0,0.0019,13.0,0.0002,20.0,0.0003,44.0,0.0006,14203.0,0.2016,13520.0,0.1919,27739.0,0.3938,3730.0,0.053,2498.0,0.0355,6261.0,0.0889,35036.0,0.4974,35457.0,0.5034,70442.0,1.0,70442.0
Laverton,3058.0,0.0325,3683.0,0.0391,6668.0,0.0708,867.0,0.0092,974.0,0.0103,1847.0,0.0196,5.0,0.0001,0.0,0.0,0.0,0.0,763.0,0.0081,666.0,0.0071,1429.0,0.0152,5.0,0.0001,0.0,0.0,4.0,0.0,7875.0,0.0836,8540.0,0.0907,16426.0,0.1744,24.0,0.0003,33.0,0.0004,59.0,0.0006,1405.0,0.0149,1507.0,0.016,2947.0,0.0313,89.0,0.0009,118.0,0.0013,253.0,0.0027,70.0,0.0007,102.0,0.0011,212.0,0.0023,22.0,0.0002,50.0,0.0005,85.0,0.0009,291.0,0.0031,310.0,0.0033,597.0,0.0063,266.0,0.0028,317.0,0.0034,659.0,0.007,389.0,0.0041,455.0,0.0048,837.0,0.0089,220.0,0.0023,246.0,0.0026,573.0,0.0061,7.0,0.0001,9.0,0.0001,42.0,0.0004,26.0,0.0003,24.0,0.0003,84.0,0.0009,252.0,0.0027,327.0,0.0035,670.0,0.0071,1624.0,0.0172,1715.0,0.0182,3293.0,0.035,11.0,0.0001,0.0,0.0,21.0,0.0002,14681.0,0.1559,15726.0,0.167,30327.0,0.3221,6614.0,0.0702,5234.0,0.0556,11846.0,0.1258,6382.0,0.0678,5579.0,0.0592,11973.0,0.1271,23.0,0.0002,17.0,0.0002,44.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,2990.0,0.0318,2273.0,0.0241,5266.0,0.0559,84.0,0.0009,111.0,0.0012,261.0,0.0028,3105.0,0.033,2419.0,0.0257,5539.0,0.0588,10146.0,0.1077,9078.0,0.0964,19204.0,0.2039,61.0,0.0006,35.0,0.0004,121.0,0.0013,22.0,0.0002,24.0,0.0003,83.0,0.0009,10311.0,0.1095,9181.0,0.0975,19545.0,0.2076,4825.0,0.0512,3332.0,0.0354,8163.0,0.0867,48986.0,0.5202,45179.0,0.4798,94165.0,1.0,94165.0
Lowan,133.0,0.0019,143.0,0.0021,322.0,0.0047,2949.0,0.0431,3505.0,0.0512,6502.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0033,269.0,0.0039,569.0,0.0083,95.0,0.0014,72.0,0.0011,154.0,0.0023,4670.0,0.0682,5321.0,0.0778,9977.0,0.1458,154.0,0.0023,203.0,0.003,359.0,0.0052,57.0,0.0008,42.0,0.0006,109.0,0.0016,29.0,0.0004,55.0,0.0008,109.0,0.0016,9.0,0.0001,11.0,0.0002,37.0,0.0005,1749.0,0.0256,1883.0,0.0275,3689.0,0.0539,4.0,0.0001,11.0,0.0002,15.0,0.0002,29.0,0.0004,29.0,0.0004,76.0,0.0011,226.0,0.0033,304.0,0.0044,597.0,0.0087,741.0,0.0108,821.0,0.012,1669.0,0.0244,34.0,0.0005,78.0,0.0011,145.0,0.0021,19.0,0.0003,24.0,0.0004,76.0,0.0011,3298.0,0.0482,4002.0,0.0585,7288.0,0.1065,591.0,0.0086,656.0,0.0096,1266.0,0.0185,16.0,0.0002,23.0,0.0003,60.0,0.0009,15295.0,0.2235,17769.0,0.2597,33039.0,0.4828,179.0,0.0026,137.0,0.002,334.0,0.0049,96.0,0.0014,74.0,0.0011,197.0,0.0029,4.0,0.0001,3.0,0.0,16.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0004,41.0,0.0006,101.0,0.0015,34.0,0.0005,46.0,0.0007,105.0,0.0015,66.0,0.001,96.0,0.0014,225.0,0.0033,14868.0,0.2173,13201.0,0.1929,28011.0,0.4093,41.0,0.0006,14.0,0.0002,70.0,0.001,10.0,0.0001,17.0,0.0002,51.0,0.0007,14954.0,0.2185,13256.0,0.1937,28250.0,0.4128,3034.0,0.0443,2778.0,0.0406,5893.0,0.0861,33926.0,0.4958,34450.0,0.5034,68431.0,1.0,68431.0
