district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,Total_Total_total
Prahran,Null,17698.0,17698.0,11545.0,2429.0,14025.0,2781.0,699.0,3478.0,1544.0,112.0,1672.0,321.0,5.0,352.0,72.0,5.0,71.0,16325.0,21091.0,37345.0,37345.0
Preston,Null,8820.0,8820.0,8502.0,1170.0,9606.0,4370.0,392.0,4769.0,3915.0,151.0,4058.0,1275.0,21.0,1341.0,613.0,15.0,637.0,18713.0,10659.0,29346.0,29346.0
Richmond,Null,11911.0,11911.0,9757.0,2009.0,11736.0,3040.0,1114.0,4137.0,2095.0,344.0,2441.0,559.0,26.0,622.0,165.0,6.0,179.0,15611.0,15446.0,31081.0,31081.0
Ringwood,Null,8118.0,8118.0,8718.0,738.0,9518.0,5002.0,127.0,5190.0,5127.0,42.0,5200.0,1835.0,7.0,1877.0,582.0,4.0,585.0,21231.0,9162.0,30367.0,30367.0
Ripon,Null,7941.0,7941.0,9291.0,474.0,9814.0,3233.0,16.0,3308.0,3220.0,6.0,3241.0,1495.0,3.0,1498.0,693.0,6.0,699.0,17967.0,8630.0,26559.0,26559.0
Rowville,Null,4071.0,4071.0,7088.0,280.0,7400.0,4723.0,31.0,4775.0,5390.0,4.0,5422.0,1944.0,0.0,1954.0,727.0,0.0,726.0,19863.0,4487.0,24388.0,24388.0
Sandringham,Null,7038.0,7038.0,7923.0,355.0,8269.0,3548.0,33.0,3613.0,4176.0,9.0,4193.0,1452.0,0.0,1447.0,233.0,0.0,233.0,17359.0,7506.0,24859.0,24859.0
Shepparton,Null,7816.0,7816.0,8663.0,567.0,9247.0,3746.0,124.0,3880.0,3620.0,12.0,3662.0,1700.0,7.0,1729.0,985.0,11.0,1023.0,18669.0,8659.0,27320.0,27320.0
South Barwon,Null,5857.0,5857.0,8077.0,565.0,8671.0,4038.0,251.0,4334.0,4495.0,144.0,4740.0,1690.0,55.0,1767.0,572.0,21.0,624.0,19007.0,7050.0,26029.0,26029.0
South-West Coast,Null,7927.0,7927.0,9611.0,559.0,10105.0,3594.0,82.0,3699.0,3342.0,23.0,3380.0,1507.0,4.0,1520.0,540.0,0.0,552.0,18623.0,8697.0,27297.0,27297.0
St Albans,Null,5047.0,5047.0,6218.0,522.0,6709.0,4145.0,207.0,4419.0,4022.0,94.0,4187.0,1879.0,34.0,1947.0,1550.0,0.0,1566.0,17865.0,6101.0,23972.0,23972.0
Sunbury,Null,5430.0,5430.0,7266.0,411.0,7725.0,4095.0,32.0,4166.0,3897.0,5.0,3916.0,1548.0,0.0,1560.0,586.0,0.0,595.0,17379.0,5912.0,23342.0,23342.0
Sydenham,Null,3316.0,3316.0,5565.0,210.0,5846.0,4764.0,16.0,4779.0,6112.0,7.0,6111.0,2562.0,0.0,2578.0,1200.0,0.0,1196.0,20248.0,3648.0,23912.0,23912.0
Tarneit,Null,4201.0,4201.0,6224.0,451.0,6718.0,5669.0,118.0,5858.0,6380.0,66.0,6501.0,2646.0,20.0,2720.0,2070.0,7.0,2091.0,22941.0,5037.0,28016.0,28016.0
Thomastown,Null,5064.0,5064.0,6748.0,402.0,7242.0,4707.0,126.0,4890.0,4867.0,38.0,4949.0,2216.0,14.0,2242.0,1376.0,12.0,1418.0,20000.0,5781.0,25777.0,25777.0
Warrandyte,Null,4270.0,4270.0,7583.0,215.0,7817.0,4459.0,31.0,4520.0,5526.0,7.0,5538.0,2102.0,0.0,2125.0,738.0,0.0,738.0,20368.0,4660.0,25092.0,25092.0
Wendouree,Null,9045.0,9045.0,8566.0,777.0,9351.0,3764.0,164.0,3925.0,3290.0,28.0,3336.0,1412.0,0.0,1418.0,481.0,4.0,491.0,17542.0,10070.0,27646.0,27646.0
Werribee,Null,5741.0,5741.0,7365.0,664.0,8032.0,5578.0,73.0,5711.0,5265.0,27.0,5304.0,2094.0,0.0,2113.0,1314.0,0.0,1322.0,21598.0,6610.0,28184.0,28184.0
Williamstown,Null,6790.0,6790.0,7663.0,518.0,8260.0,4022.0,67.0,4102.0,4279.0,15.0,4335.0,1354.0,0.0,1372.0,416.0,0.0,430.0,17770.0,7413.0,25272.0,25272.0
Yan Yean,Null,3490.0,3490.0,6097.0,252.0,6375.0,4486.0,0.0,4505.0,5521.0,0.0,5535.0,2385.0,0.0,2395.0,964.0,0.0,972.0,19398.0,3868.0,23336.0,23336.0
